year,quarter,period,state,count,amount_inr,avg_ticket_inr
2019,3,2019Q3,meghalaya,326183,724948653.2435663,2222.5212633508377
2019,3,2019Q3,mizoram,114147,356730288.3142443,3125.183213875479
2019,3,2019Q3,nagaland,318274,885863908.279764,2783.3373391472883
2019,3,2019Q3,odisha,40800846,56988076003.73456,1396.7376069538989
2019,3,2019Q3,puducherry,765031,1462124362.8365593,1911.1962297430553
2019,3,2019Q3,punjab,11034661,23019351919.045273,2086.0950707090387
2019,3,2019Q3,rajasthan,65929301,108541401685.51715,1646.3302361649057
2019,3,2019Q3,sikkim,333701,791314969.2661016,2371.32933154561
2019,3,2019Q3,tamil nadu,40615165,75113047933.86618,1849.3842862356014
2019,3,2019Q3,telangana,114112049,178114733596.80167,1560.8757809335425
2019,3,2019Q3,tripura,880275,1426665779.1088414,1620.7046424229263
2019,3,2019Q3,uttar pradesh,76672707,123828842522.57431,1615.0315720895874
2019,3,2019Q3,uttarakhand,6691016,12093509975.50256,1807.4250570470253
2019,3,2019Q3,west bengal,60043951,66423789032.74228,1106.2528019307438
2019,4,2019Q4,andaman & nicobar islands,41665,170840663.89588845,4100.339947099207
2019,4,2019Q4,andhra pradesh,130762980,254283893858.3307,1944.6168468960457
2019,4,2019Q4,arunachal pradesh,570808,1664821348.2619624,2916.604792262832
2019,4,2019Q4,assam,6891858,14599084294.48947,2118.3089225705853
2019,4,2019Q4,bihar,40967886,89108176121.19955,2175.073815651595
2019,4,2019Q4,chandigarh,1663318,3246646185.7316084,1951.909487982219
2019,4,2019Q4,chhattisgarh,16357293,28463127103.098198,1740.0878680291537
2019,4,2019Q4,dadra & nagar haveli & daman & diu,916877,1615369595.516838,1761.8171199810204
2019,4,2019Q4,delhi,62548835,93652030961.80515,1497.2625942882094
2019,4,2019Q4,goa,1901461,3915138021.176736,2059.0156838224584
2019,4,2019Q4,gujarat,41410517,73077071811.67056,1764.698369056116
2019,4,2019Q4,haryana,44740993,82429204420.11588,1842.3642144043579
2019,4,2019Q4,himachal pradesh,3593015,6985396691.332533,1944.1601806094695
2019,4,2019Q4,jammu & kashmir,272081,1153430776.5641694,4239.2918894159075
2019,4,2019Q4,jharkhand,20545968,31768782167.634148,1546.2295165471953
2019,4,2019Q4,karnataka,246189422,306446917780.66754,1244.7607021095632
2019,4,2019Q4,kerala,12974136,22014232923.56272,1696.7783383465937
