year,quarter,period,category,instrument,count,amount_inr,avg_ticket_inr,amount_lakh_cr,count_bn
2025,2,2025Q2,P2P,TOTAL,9900005748,28268720863299.043,2855.4246919513043,28.26872086329904,9.900005748
2025,2,2025Q2,Retail,TOTAL,19304029989,8176814143804.889,423.5806797059617,8.176814143804888,19.304029989
2025,2,2025Q2,Utility,TOTAL,1930174862,1973927573014.5562,1022.6677447084875,1.9739275730145562,1.930174862
2025,3,2025Q3,P2P,TOTAL,10422073985,27595198105516.906,2647.7645567699265,27.595198105516907,10.422073985
2025,3,2025Q3,Retail,TOTAL,20635151288,8402692427468.916,407.2028506209862,8.402692427468915,20.635151288
2025,3,2025Q3,Utility,TOTAL,1950772627,2149448721564.6545,1101.844823848174,2.1494487215646547,1.950772627
2025,4,2025Q4,P2P,TOTAL,11083827632,29860876292763.58,2694.094250126424,29.860876292763578,11.083827632
2025,4,2025Q4,Retail,TOTAL,21832362356,9277808164803.066,424.95667731775836,9.277808164803066,21.832362356
2025,4,2025Q4,Utility,TOTAL,1977344265,2339219285222.5327,1183.0106302821946,2.3392192852225326,1.977344265
2026,1,2026Q1,P2P,TOTAL,11518262185,31307245432326.008,2718.052856367239,31.307245432326006,11.518262185
2026,1,2026Q1,Retail,TOTAL,22674188870,9657607938640.018,425.92958866184205,9.657607938640018,22.67418887
2026,1,2026Q1,Utility,TOTAL,2059248030,2481213375757.9775,1204.9123464539516,2.4812133757579775,2.05924803
2026,2,2026Q2,P2P,TOTAL,11889781621,32389025199241.22,2724.105978703174,32.38902519924122,11.889781621
2026,2,2026Q2,Retail,TOTAL,24691181013,10483776876684.934,424.59600742326523,10.483776876684933,24.691181013
2026,2,2026Q2,Utility,TOTAL,2083323057,2623651480946.3564,1259.358922818448,2.6236514809463563,2.083323057
