month,leg,volume_mn,value_brl_bn,volume_share,value_share
2023-05,G2G,0.013,2.596,5e-06,0.002264
2023-05,G2P,0.736,1.282,0.000267,0.001118
2023-05,Nao disponivel,0.223,0.018,8.1e-05,1.6e-05
2023-05,P2B,799.526,129.972,0.289798,0.113333
2023-05,P2G,6.492,2.096,0.002353,0.001828
2023-05,P2P,1665.972,405.96,0.603852,0.353992
2023-06,B2B,84.754,450.619,0.029651,0.389426
2023-06,B2G,1.724,1.726,0.000603,0.001492
2023-06,B2P,206.46,152.679,0.072229,0.131946
2023-06,G2B,0.091,1.938,3.2e-05,0.001675
2023-06,G2G,0.013,2.647,5e-06,0.002288
2023-06,G2P,2.567,2.767,0.000898,0.002392
2023-06,Nao disponivel,0.0,0.0,0.0,0.0
2023-06,P2B,853.172,131.264,0.298476,0.113439
2023-06,P2G,5.544,1.438,0.001939,0.001243
2023-06,P2P,1704.103,412.056,0.596168,0.356101
2023-07,B2B,89.397,468.115,0.029048,0.387812
2023-07,B2G,1.847,2.012,0.0006,0.001667
2023-07,B2P,228.922,158.479,0.074385,0.131292
2023-07,G2B,0.099,2.719,3.2e-05,0.002252
2023-07,G2G,0.022,2.634,7e-06,0.002182
2023-07,G2P,2.072,2.255,0.000673,0.001868
2023-07,Nao disponivel,0.0,0.0,0.0,0.0
2023-07,P2B,978.717,140.156,0.318018,0.116113
2023-07,P2G,5.445,1.449,0.001769,0.0012
2023-07,P2P,1771.028,429.252,0.575467,0.355615
2023-08,B2B,98.681,511.332,0.030102,0.397377
2023-08,B2G,2.049,2.192,0.000625,0.001704
2023-08,B2P,253.265,173.229,0.077257,0.134624
2023-08,G2B,0.109,2.454,3.3e-05,0.001907
2023-08,G2G,0.017,3.589,5e-06,0.002789
2023-08,G2P,0.37,0.615,0.000113,0.000478
2023-08,Nao disponivel,0.0,0.0,0.0,0.0
2023-08,P2B,1086.795,150.947,0.331519,0.117308
2023-08,P2G,5.828,1.516,0.001778,0.001178
2023-08,P2P,1831.117,440.891,0.558569,0.342635
2023-09,B2B,95.97,507.062,0.028639,0.397009
2023-09,B2G,2.039,2.096,0.000609,0.001641
2023-09,B2P,258.451,169.945,0.077125,0.13306
2023-09,G2B,0.1,4.24,3e-05,0.00332
2023-09,G2G,0.018,2.724,5e-06,0.002133
2023-09,G2P,0.581,0.551,0.000173,0.000431
2023-09,Nao disponivel,0.661,0.043,0.000197,3.4e-05
2023-09,P2B,1122.676,148.905,0.335021,0.116586
2023-09,P2G,6.047,1.488,0.001804,0.001165
2023-09,P2P,1864.514,440.151,0.556396,0.344621
2023-10,B2B,102.595,572.732,0.028863,0.414871
2023-10,B2G,2.122,2.417,0.000597,0.00175
2023-10,B2P,279.347,180.461,0.078587,0.130721
2023-10,G2B,0.112,2.937,3.2e-05,0.002128
2023-10,G2G,0.018,2.816,5e-06,0.00204
2023-10,G2P,0.626,0.504,0.000176,0.000365
2023-10,Nao disponivel,3.007,0.322,0.000846,0.000234
2023-10,P2B,1228.545,159.759,0.34562,0.115725
2023-10,P2G,5.901,1.524,0.00166,0.001104
2023-10,P2P,1932.335,457.035,0.543614,0.331063
2023-11,B2B,104.391,585.904,0.028173,0.412002
2023-11,B2G,2.125,2.334,0.000573,0.001641
2023-11,B2P,296.777,185.397,0.080094,0.130369
2023-11,G2B,0.114,3.639,3.1e-05,0.002559
2023-11,G2G,0.018,3.801,5e-06,0.002673
2023-11,G2P,0.413,0.509,0.000111,0.000358
2023-11,Nao disponivel,0.0,0.0,0.0,0.0
2023-11,P2B,1319.859,168.279,0.356203,0.118332
2023-11,P2G,5.713,1.497,0.001542,0.001053
2023-11,P2P,1975.945,470.731,0.533268,0.331013
2023-12,B2B,112.301,634.073,0.026653,0.396264
2023-12,B2G,2.409,2.811,0.000572,0.001757
2023-12,B2P,325.6,212.165,0.077277,0.132593
2023-12,G2B,0.146,4.844,3.5e-05,0.003028
2023-12,G2G,0.027,6.196,6e-06,0.003872
2023-12,G2P,0.579,0.764,0.000137,0.000477
2023-12,Nao disponivel,2.899,0.632,0.000688,0.000395
2023-12,P2B,1511.649,188.8,0.35877,0.11799
2023-12,P2G,6.688,2.216,0.001587,0.001385
2023-12,P2P,2251.126,547.626,0.534275,0.342239
2024-01,B2B,109.764,621.593,0.028505,0.419087
2024-01,B2G,3.107,3.7,0.000807,0.002495
2024-01,B2P,323.074,193.109,0.083901,0.130197
2024-01,G2B,0.079,1.867,2e-05,0.001259
2024-01,G2G,0.017,2.536,4e-06,0.00171
2024-01,G2P,1.011,0.427,0.000262,0.000288
2024-01,Nao disponivel,0.0,0.0,0.0,0.0
2024-01,P2B,1464.827,177.434,0.380411,0.119629
2024-01,P2G,9.957,3.529,0.002586,0.002379
2024-01,P2P,1938.807,479.012,0.503502,0.322957
2024-02,B2B,108.564,576.464,0.02822,0.40503
2024-02,B2G,2.593,2.694,0.000674,0.001893
2024-02,B2P,323.327,190.657,0.084045,0.133958
2024-02,G2B,0.106,2.371,2.8e-05,0.001666
2024-02,G2G,0.019,3.62,5e-06,0.002543
2024-02,G2P,0.519,0.529,0.000135,0.000372
2024-02,Nao disponivel,0.0,0.0,0.0,0.0
2024-02,P2B,1458.115,172.017,0.379019,0.120861
2024-02,P2G,8.654,2.47,0.002249,0.001735
2024-02,P2P,1945.185,472.439,0.505626,0.331942
2024-03,B2B,120.766,664.048,0.027936,0.417161
2024-03,B2G,2.806,3.319,0.000649,0.002085
2024-03,B2P,367.895,207.71,0.085103,0.130485
2024-03,G2B,0.11,2.684,2.6e-05,0.001686
2024-03,G2G,0.02,3.234,5e-06,0.002031
2024-03,G2P,0.537,0.589,0.000124,0.00037
2024-03,P2B,1664.274,192.511,0.384988,0.120937
2024-03,P2G,8.887,2.516,0.002056,0.001581
2024-03,P2P,2157.631,515.217,0.499113,0.323664
2024-04,B2B,129.382,763.871,0.029775,0.439942
