month,banks_live,volume_mn,value_cr,provenance,avg_ticket_inr,value_lakh_cr,volume_yoy,value_yoy
2023-06,458.0,9335.06,1475464.27,npci_ckan_mirror,1580.5621709983652,14.7546427,0.5922664278708796,0.45454213591697035
2023-07,473.0,9964.61,1533645.2,npci_ckan_mirror,1539.0920467534604,15.336452,0.5846018065008589,0.44276404974266015
2023-08,484.0,10586.02,1576536.56,npci_ckan_mirror,1489.2627824243673,15.7653656,0.6089080996955756,0.4695631219258507
2023-09,,10555.69,1579133.18,npci_manual,1496.00185302903,15.7913318,0.5567027489381784,0.4144386330061647
2023-10,,11408.79,1715768.34,npci_manual,1503.900361037411,17.1576834,0.561688445017535,0.41613825376201574
2023-11,,11235.29,1739740.61,npci_manual,1548.4607962945329,17.3974061,0.5370910260005883,0.4612382570005704
2023-12,,12020.23,1822949.45,npci_manual,1516.5678610143068,18.2294945,0.5352506995985691,0.4218964364095421
2024-01,,12203.02,1841083.97,npci_manual,1508.71175332008,18.4108397,0.518375889181014,0.41760701724894167
2024-02,,12102.67,1827869.35,npci_manual,1510.3025613356392,18.2786935,0.6062449235277567,0.47904223745823726
2024-03,,13440.0,1978353.23,npci_manual,1471.9890104166666,19.7835323,0.5474422299747852,0.40264669750818216
2024-06,,13885.14,2007081.2,npci_manual,1445.4886302910882,20.070812,0.5604542072837695,0.42648928927211505
2024-07,,14435.55,2064292.41,npci_manual,1430.0060683520892,20.6429241,0.5332191915404785,0.3862261343837792
2024-08,,14963.05,2060735.57,npci_manual,1377.2162560440552,20.6073557,0.6028873944034638,0.39666924635186196
2024-09,,15041.75,2063994.71,npci_manual,1372.1772466634534,20.6399471,0.5095171813046371,0.34580978051507616
2024-10,,16584.97,2349821.46,npci_manual,1416.8379321759398,23.4982146,0.5666860633174697,0.4904960148846784
2024-11,,15482.02,2155187.41,npci_manual,1392.0582779249737,21.551874100000003,0.4666990030969078,0.3647914167695472
2024-12,,16730.01,2324699.94,npci_manual,1389.538882523083,23.2469994,0.4664140544264552,0.3549031566813967
2025-01,,16996.01,2348037.11,npci_manual,1381.5225514694332,23.4803711,0.5127344287508375,0.34964781330246675
2025-02,,16106.19,2196481.7,npci_manual,1363.750024059073,21.964817000000004,0.33992361211058375,0.20490543498065739
2025-03,,18301.51,2477221.59,npci_manual,1353.5613127004274,24.7722159,0.49975252027776706,0.34552341466532877
2025-06,675.0,18395.01,2403930.69,npci_manual,1306.8384795659258,24.0393069,0.5199133744867868,0.3151545486552416
2025-07,684.0,19467.95,2508498.1,npci_manual,1288.5270919639715,25.084981000000003,0.44850818452380947,0.2679728078690984
2025-08,688.0,20008.31,2485472.9,npci_manual,1242.2203074622494,24.854729,0.4409872712842653,0.2383519411172801
2025-09,686.0,19633.43,2489736.52,npci_manual,1268.1108293354753,24.8973652,0.36007495384658017,0.2060968242381902
2025-10,683.0,20700.92,2727790.71,npci_manual,1317.7147247561943,27.2779071,0.3834692793247365,0.323697591147029
2025-11,684.0,20466.98,2631632.64,npci_manual,1285.794308686479,26.3163264,0.36067811258663385,0.27501908180762746
2025-12,685.0,21634.67,2796712.71,npci_manual,1292.6995003852612,27.9671271,0.304474472971612,0.19018093825732607
2026-01,691.0,21703.46,2833481.26,npci_manual,1305.5435677076373,28.3348126,0.40184937107690066,0.3147261564598689
2026-02,694.0,20394.2,2684229.3,npci_manual,1316.172882486197,26.842293,0.21901899640227374,0.15465624350642004
2026-03,705.0,22641.14,2952542.03,npci_manual,1304.0606745066725,29.5254203,0.33214442683900525,0.25745117801822137
2026-04,713.0,22346.8,2902988.05,npci_manual,1299.0620804768469,29.0298805,0.38746655788861295,0.32165364728511037
2026-05,720.0,23201.95,2990424.18,npci_manual,1288.8676081105252,29.9042418,0.26776151257464553,0.20716862474947195
2026-06,731.0,22716.08,2892138.66,npci_manual,1273.1680201865815,28.9213866,0.2349044659394044,0.20308737353821127
2026-07,741.0,23658.35,2987880.48,npci_manual,1262.9285136114734,29.8788048,0.21524608394823264,0.1911033458626099
